beseda,sentiment
čitljiv,0
čivkati,-2
čiž,-2
član,0
članarina,0
članek,0
članica,0
članski,1
članstvo,0
člen,0
členiti,0
človečnost,2
človek,0
človekoljuben,1
človekov,0
človeški,0
človeško,0
človeštvo,1
čo,3
čok,0
čoko,0
čokolada,-1
čokoladen,2
čokoladica,4
čoln,0
čolniček,0
čreda,0
čreden,-3
čren,2
črepinja,-2
črešnar,3
črevesje,0
črevo,-4
črka,0
črko...,0
črn,-1
črnec,0
črnilo,-2
črnina,3
črnivec,2
črnko,1
črnobel,3
črnogled,-2
črnogledo,0
črnogledost,2
črnogorski,0
črnograditelj,-2
črnograditeljski,0
črnomaljski,-2
črnomorski,0
črno...,-1
črnski,-1
črnugelj,0
črnuški,-2
črpalen,1
črpališče,-2
črpalka,0
črpan,0
črpanje,0
črpati,0
črt,0
črta,0
črtan,0
